competition,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
10tries_60days_no_noise,modifiers_01,Random,0,0,0,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.0,7428.583708691771,0.49208967775745166
10tries_60days_no_noise,modifiers_01,Random,0,1,1,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.0,7428.583708691771,0.49208967775745166
10tries_60days_no_noise,modifiers_01,Random,0,2,2,"[[128, 128, 128], [128], [2048, 2048], [128], [512, 512, 512, 512, 512]]",-0.033448564899564846,4276.328081729876,0.5085493712803277
10tries_60days_no_noise,modifiers_01,Random,0,3,3,"[[2048, 2048, 2048, 2048]]",-0.019391677963384858,3098.2424264863726,0.50163212231763
10tries_60days_no_noise,modifiers_01,Random,0,4,4,"[[512, 512, 512]]",-0.15133471130337844,27116.823034162997,0.5665599270762481
10tries_60days_no_noise,modifiers_01,Random,0,5,5,"[[512, 512]]",-0.16067897863276262,32214.75966610524,0.5711581445752443
10tries_60days_no_noise,modifiers_01,Random,0,6,6,"[[64, 64, 64, 64], [128, 128], [64, 64], [1024, 1024, 1024]]",-0.03728230984435566,13988.890005245214,0.5104359175948141
10tries_60days_no_noise,modifiers_01,Random,0,7,7,"[[256, 256, 256, 256], [256, 256, 256, 256, 256], [64], [2048, 2048, 2048, 2048, 2048]]",0.017610263840738896,2341.0824054564678,0.48342384869883875
10tries_60days_no_noise,modifiers_01,Random,0,8,8,"[[128, 128, 128, 128, 128]]",-0.14863461015725568,45022.37498140807,0.5652312351733401
10tries_60days_no_noise,modifiers_01,Random,0,9,9,"[[256, 256], [64, 64, 64], [128, 128], [128, 128], [512, 512, 512, 512]]",-0.06565212445853696,24259.199066588324,0.5243964105263452
10tries_60days_no_noise,modifiers_01,Random,0,10,10,"[[64, 64, 64, 64], [2048, 2048, 2048, 2048], [128, 128, 128, 128, 128]]",-0.0009248006755726528,5668.974699180848,0.4925447626238841
10tries_60days_no_noise,modifiers_01,SimulatedAnnealing,0,0,0,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.0,7428.583708691771,0.49208967775745166
10tries_60days_no_noise,modifiers_01,SimulatedAnnealing,0,1,1,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.0,7428.583708691771,0.49208967775745166
10tries_60days_no_noise,modifiers_01,SimulatedAnnealing,0,2,2,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.0,7428.583708691771,0.49208967775745166
10tries_60days_no_noise,modifiers_01,SimulatedAnnealing,0,3,3,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024, 1024], [64]]",0.0034190365961842104,6337.284840793252,0.49040720514059444
10tries_60days_no_noise,modifiers_01,SimulatedAnnealing,0,4,4,"[[512], [512, 512, 512, 512], [512], [1024, 1024, 1024, 1024], [64]]",0.003233040004835289,6728.59392632709,0.4904987321432953
10tries_60days_no_noise,modifiers_01,SimulatedAnnealing,0,5,5,"[[512], [512, 512, 512, 512], [1024, 1024, 1024, 1024], [64]]",-0.04997193950527075,5332.988543621697,0.5166803533655152
10tries_60days_no_noise,modifiers_01,SimulatedAnnealing,0,6,6,"[[512], [512, 512, 512, 512], [1024, 1024, 1024, 1024], [64], [128]]",-0.04876193291814075,5330.5953426907645,0.51608492161397
