idx,network_modifiers
1,"{""0"":[0.2,0.2,0.7,0.2,0.25],""1"":[0.15,0.1,0.95,0.05,0.05],""2"":[0.15,0.35,0.6,0.25,0.15],""3"":[0.3,0.2,0.85,0.1,0.2],""4"":[0.2,0.15,0.75,0.4,0.5]}"
2,"{""0"":[0.15,0.25,0.8,0.4,0.5],""1"":[0.15,0.2,0.7,0.4,0.45],""2"":[0.25,0.15,0.75,0.5,0.2],""3"":[0.15,0.15,0.6,0.5,0.4],""4"":[0.3,0.25,0.95,0.1,0.3]}"
3,"{""0"":[0.2,0.25,0.6,0.35,0.2],""1"":[0.2,0.15,0.75,0.5,0.2],""2"":[0.2,0.15,0.8,0.35,0.1],""3"":[0.2,0.2,0.6,0.2,0.05],""4"":[0.2,0.25,0.8,0.05,0.4]}"
4,"{""0"":[0.15,0.15,0.95,0.4,0.1],""1"":[0.25,0.2,0.75,0.25,0.1],""2"":[0.15,0.15,0.6,0.1,0.35],""3"":[0.15,0.4,0.6,0.1,0.1],""4"":[0.3,0.1,0.95,0.4,0.15]}"
5,"{""0"":[0.1,0.25,0.9,0.3,0.3],""1"":[0.35,0.05,0.7,0.45,0.3],""2"":[0.2,0.1,1.0,0.45,0.4],""3"":[0.15,0.4,0.95,0.1,0.15],""4"":[0.2,0.2,0.5,0.25,0.5]}"
6,"{""0"":[0.25,0.2,0.95,0.2,0.5],""1"":[0.15,0.15,0.5,0.25,0.3],""2"":[0.3,0.25,0.85,0.5,0.45],""3"":[0.1,0.15,0.95,0.3,0.25],""4"":[0.2,0.25,0.7,0.15,0.4]}"
7,"{""0"":[0.3,0.25,0.8,0.15,0.45],""1"":[0.25,0.15,1.0,0.05,0.15],""2"":[0.05,0.15,0.95,0.4,0.4],""3"":[0.05,0.3,0.8,0.4,0.5],""4"":[0.35,0.15,0.8,0.5,0.05]}"
8,"{""0"":[0.15,0.1,0.85,0.5,0.1],""1"":[0.25,0.25,0.8,0.05,0.25],""2"":[0.1,0.25,0.8,0.1,0.45],""3"":[0.35,0.15,0.55,0.3,0.2],""4"":[0.15,0.25,0.95,0.25,0.2]}"
9,"{""0"":[0.1,0.15,0.75,0.25,0.1],""1"":[0.15,0.2,1.0,0.4,0.05],""2"":[0.25,0.25,0.7,0.15,0.1],""3"":[0.15,0.2,0.75,0.5,0.5],""4"":[0.35,0.2,1.0,0.35,0.35]}"
10,"{""0"":[0.15,0.2,0.5,0.35,0.15],""1"":[0.15,0.3,0.95,0.45,0.1],""2"":[0.3,0.2,0.7,0.5,0.2],""3"":[0.05,0.15,0.65,0.3,0.5],""4"":[0.35,0.15,0.7,0.3,0.2]}"
