Competitor,Trial,,score,qps,ne
metamate_iterative,1,"[[1024, 1024], [512, 512, 512], [256, 256, 256, 256], [2048], [128, 128, 128, 128, 128]]",0.121252,"7,818.43",0.491911
metamate_iterative,2,"[[512, 512, 512, 512, 512], [512, 512, 512, 512, 512], [512, 512, 512, 512, 512], [512, 512, 512, 512, 512], [512, 512, 512, 512, 512]]",0.121611,"5,642.00",0.49171
metamate_iterative,3,"[[2048, 2048], [1024, 1024], [1024, 1024], [512, 512], [256, 256]]",0.124492,"3,387.38",0.490098
metamate_iterative,4,"[[1024, 1024, 1024], [512, 512, 512], [256, 256, 256], [512, 512], [128, 128, 128]]",0.109837,"7,620.09",0.498301
metamate_iterative,5,"[[512, 256, 128], [1024, 512], [256, 256, 256], [512, 256], [128, 128, 128, 128]]",0.040243,"15,911.14",0.537259
metamate_iterative,6,"[[512, 512, 512, 512, 512], [256, 256, 256, 256, 256], [1024, 1024], [512, 512], [128, 128, 128, 128]]",0.119853,"8,777.50",0.492694
metamate_iterative,7,"[[1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.13265,"1,673.13",0.485531
metamate_iterative,8,"[[512, 512, 512, 512, 512], [512, 512, 512, 512, 512], [512, 512, 512, 512, 512], [256, 256, 256, 256, 256], [1024, 1024, 1024, 1024, 1024]]",0.121835,"5,818.74",0.491585
metamate_iterative,9,"[[512, 512, 512, 512, 512], [512, 512, 512], [512, 512, 512, 512, 512], [512, 512, 512], [512, 512, 512, 512, 512]]",0.12011,"6,940.57",0.49255
metamate_iterative,10,"[[512, 512, 512, 512, 512], [256, 256, 256, 256, 256], [512, 512, 512], [128, 128, 128, 128, 128], [512, 512, 512, 512, 512]]",0.110626,"11,603.73",0.497859
jamoberg,1,"[1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.13265,1673.129399,0.485531
jamoberg,2,"[[1024, 1024, 1024], [1024, 1024, 1024], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [1024, 1024, 1024]]",0.127668,2066.656016,0.488319
