ModeTag,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
hardQPS_Q3500,modifiers_01,Random,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
hardQPS_Q3500,modifiers_01,Random,0,2,2,"[[512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024], [64]]",0.07175970915936271,7428.583708691771,0.5246227159289933
hardQPS_Q3500,modifiers_01,Random,0,3,3,"[[128, 128, 128], [128], [2048, 2048], [128], [512, 512, 512, 512, 512]]",0.12912914338018228,4276.328081729876,0.49219866723253003
hardQPS_Q3500,modifiers_01,Random,0,4,4,"[[2048, 2048, 2048, 2048]]",0.11354232823973595,3098.2424264863726,0.5010080212029967
hardQPS_Q3500,modifiers_01,Random,0,5,5,"[[512, 512, 512]]",0.003075269896589255,27116.823034162997,0.5634417775703098
hardQPS_Q3500,modifiers_01,Random,0,6,6,"[[512, 512]]",-0.008054972915915495,32214.75966610524,0.5697323666245269
hardQPS_Q3500,modifiers_01,Random,0,7,7,"[[64, 64, 64, 64], [128, 128], [64, 64], [1024, 1024, 1024]]",0.06633959585323504,13988.890005245214,0.5276860547986393
hardQPS_Q3500,modifiers_01,Random,0,8,8,"[[256, 256, 256, 256], [256, 256, 256, 256, 256], [64], [2048, 2048, 2048, 2048, 2048]]",0.13818151655603805,2341.0824054564678,0.4870824482448589
hardQPS_Q3500,modifiers_01,Random,0,9,9,"[[128, 128, 128, 128, 128]]",0.012302353829985206,45022.37498140807,0.5582268155814706
hardQPS_Q3500,modifiers_01,Random,0,10,10,"[[256, 256], [64, 64, 64], [128, 128], [128, 128], [512, 512, 512, 512]]",0.08399211866747106,24259.199066588324,0.5177092044580706
hardQPS_Q3500,modifiers_01,SimulatedAnnealing,0,1,1,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
hardQPS_Q3500,modifiers_01,SimulatedAnnealing,0,2,2,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
hardQPS_Q3500,modifiers_01,SimulatedAnnealing,0,3,3,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26435.85019656983,0.5651798581743118
hardQPS_Q3500,modifiers_01,SimulatedAnnealing,0,4,4,"[[256, 256], [512, 512], [256, 256], [64, 64], [64]]",0.0115106404839973,26369.93492176719,0.5586742760180707
hardQPS_Q3500,modifiers_01,SimulatedAnnealing,0,5,5,"[[256, 256], [512, 512], [256], [64, 64], [64]]",0.006959206296789183,28265.26048807683,0.5612466549464867
hardQPS_Q3500,modifiers_01,SimulatedAnnealing,0,6,6,"[[256, 256], [512, 512], [64, 64], [64]]",-0.003906831862367524,32997.03050386016,0.5673879208521956
hardQPS_Q3500,modifiers_01,SimulatedAnnealing,0,7,7,"[[256, 256], [512, 512], [64, 64], [64], [128]]",-0.0019020176019681563,32905.623855652215,0.5662548402128372
hardQPS_Q3500,modifiers_01,SimulatedAnnealing,0,8,8,"[[256, 256], [1024, 1024], [64, 64], [64], [128]]",0.00597688361552158,23325.12789688989,0.561801843940167
