competition,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,1,1,"[[64, 64, 64, 64, 64], [16], [16, 16, 16, 16], [16, 16], [32, 32, 32]]",0.0007893013546946222,49537.602181503185,0.5593444880283671
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,2,2,"[[512], [2048, 2048, 2048, 2048, 2048], [128, 128], [4], [512, 512]]",0.13097588780560424,2274.4482359824506,0.4864678168265171
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,3,3,"[[32, 32], [2, 2, 2, 2], [64, 64, 64, 64], [8], [512, 512, 512, 512]]",0.009406646057016774,36217.32413829494,0.5545206162791763
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,4,4,"[[16, 16], [16, 16, 16, 16], [4], [1024, 1024], [2048]]",0.08127464047708988,6449.473013636066,0.5142898955723006
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,5,5,"[[256, 256, 256, 256, 256], [4096, 4096, 4096, 4096], [256, 256, 256], [8, 8, 8, 8, 8], [2]]",0.14121366704133176,826.451718241593,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,6,6,"[[64, 64, 64, 64, 64], [32], [32, 32], [2048, 2048], [512, 512, 512]]",0.12062870996315772,3740.284713954463,0.49226002551750525
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,7,7,"[[4, 4], [1024, 1024], [128, 128, 128, 128], [8, 8, 8, 8], [2, 2, 2, 2]]",0.023822496632496283,21563.375276548748,0.5464508202185785
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,8,8,"[[64, 64, 64, 64], [1024, 1024, 1024, 1024, 1024], [32, 32, 32], [32, 32, 32, 32], [32, 32, 32, 32, 32]]",0.11985015222616921,8326.494488408476,0.49269585149433553
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,9,9,"[[8192, 8192, 8192, 8192], [32, 32, 32, 32, 32], [32], [2048, 2048, 2048, 2048], [4]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,10,10,"[[16, 16], [64], [4], [32, 32, 32], [2, 2, 2]]",-0.021869139023091472,51588.11565531641,0.5720283731687252
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,11,11,"[[8, 8, 8, 8], [2, 2, 2], [2, 2], [8, 8, 8], [2048, 2048, 2048, 2048]]",0.11079547297652939,6112.687155640394,0.49776453714393615
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,12,12,"[[8, 8, 8, 8], [8, 8], [4096, 4096, 4096, 4096], [8, 8, 8, 8], [32, 32, 32, 32]]",0.1293582809402936,1661.454563065712,0.4873733310340161
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,13,13,"[[8, 8], [1024, 1024, 1024, 1024], [4, 4, 4], [2048, 2048, 2048, 2048, 2048], [512, 512, 512, 512]]",0.1296891453432165,1111.875973067604,0.48718811766479314
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,14,14,"[[8, 8, 8, 8], [2, 2, 2, 2], [128], [128], [2048, 2048, 2048, 2048]]",0.11953926770429397,5753.978397187135,0.49286988039931023
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,15,15,"[[512, 512, 512, 512], [512, 512, 512, 512, 512], [8], [8, 8, 8, 8], [2, 2, 2, 2]]",0.07499358458432427,13436.80846821489,0.5178059447873258
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,16,16,"[[512], [512, 512, 512, 512], [8, 8, 8], [32], [8192, 8192, 8192, 8192]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,17,17,"[[32], [4096, 4096, 4096, 4096], [128, 128, 128, 128, 128], [4096, 4096], [2]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,18,18,"[[64], [2, 2], [1024, 1024, 1024, 1024, 1024], [4, 4, 4, 4], [2]]",0.026672825335620258,15255.494783851025,0.5448552451798775
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,19,19,"[[4096, 4096, 4096, 4096, 4096], [1024, 1024, 1024, 1024], [512], [8, 8], [128]]",0.14121366704133176,623.8907157599061,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,0,20,20,"[[128, 128, 128, 128], [4, 4], [512, 512, 512, 512, 512], [16], [16, 16, 16]]",0.018188841677577127,30930.350365821152,0.5496044632397751
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,1,1,"[[8192, 8192, 8192, 8192], [1024], [64, 64, 64, 64], [2], [8192, 8192]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,2,2,"[[128, 128, 128, 128, 128], [8, 8], [64, 64, 64, 64, 64], [32, 32, 32], [8192, 8192, 8192, 8192]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,3,3,"[[8192, 8192, 8192], [32, 32, 32], [4, 4], [128], [1024, 1024]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,4,4,"[[4, 4], [8192], [512, 512], [16], [1024, 1024, 1024]]",0.10065380646750689,6536.477517417334,0.5034417034001967
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,5,5,"[[256], [128, 128, 128, 128], [1024, 1024], [32, 32, 32, 32], [4]]",0.030310242331228095,26280.819599542345,0.5428190688760085
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,6,6,"[[8192, 8192, 8192, 8192], [32, 32, 32], [16], [8, 8], [32]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,7,7,"[[8, 8], [1024, 1024, 1024], [128], [16, 16], [4096, 4096, 4096, 4096, 4096]]",0.13767447901627486,1169.6374692196678,0.482718037049015
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,8,8,"[[16, 16], [2], [2048, 2048, 2048], [256, 256], [8192, 8192, 8192, 8192]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,9,9,"[[2, 2, 2], [256], [4, 4], [2, 2, 2, 2], [128]]",-0.017827045269627504,54198.22221228519,0.5697656643484942
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,10,10,"[[64, 64, 64, 64, 64], [8192, 8192, 8192], [64, 64, 64, 64], [256, 256, 256, 256], [4096]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,11,11,"[[4096, 4096, 4096, 4096, 4096], [32, 32, 32, 32, 32], [1024, 1024, 1024, 1024, 1024], [8192], [2, 2, 2]]",0.14121366704133176,506.41760600679186,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,12,12,"[[256, 256, 256], [4, 4, 4, 4, 4], [512, 512], [8192, 8192, 8192], [2, 2, 2, 2, 2]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,13,13,"[[4, 4, 4, 4, 4], [1024, 1024, 1024, 1024, 1024], [8], [4, 4, 4, 4], [8192, 8192, 8192]]",0.14121366704133176,592.7646252835566,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,14,14,"[[256, 256, 256, 256, 256], [2048, 2048, 2048], [1024], [128, 128, 128], [256, 256, 256]]",0.12620304942444752,3522.8009195166264,0.489139586498689
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,15,15,"[[128], [2048, 2048], [128, 128, 128, 128, 128], [128], [8, 8]]",0.08785038163007693,7520.568834370001,0.5106088855775005
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,16,16,"[[64, 64], [2048, 2048, 2048, 2048, 2048], [256], [1024], [1024]]",0.13299407459082171,2074.61059331505,0.4853380634565286
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,17,17,"[[1024, 1024, 1024, 1024], [32, 32], [4096, 4096, 4096, 4096, 4096], [4096], [4096]]",0.14121366704133176,592.967507008096,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,18,18,"[[8, 8], [64, 64, 64, 64, 64], [64], [4096], [4, 4]]",0.12130232460970958,32529.612447039544,0.4918829452479337
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,19,19,"[[256], [8192], [16, 16, 16], [8, 8, 8, 8, 8], [4096]]",0.06367653402025836,12286.437167196804,0.5241410749679081
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,1,20,20,"[[64, 64, 64, 64], [8, 8], [16, 16, 16, 16, 16], [128], [8192]]",0.06233832446049759,21832.897483387103,0.5248901863836424
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,1,1,"[[512], [8, 8, 8, 8], [512, 512, 512, 512], [4, 4, 4], [64, 64, 64, 64]]",0.025474087453291425,31296.457656999108,0.5455262822574233
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,2,2,"[[32, 32, 32], [32, 32, 32, 32, 32], [128, 128, 128, 128], [2048, 2048, 2048, 2048, 2048], [16, 16, 16, 16]]",0.12703309332696022,1230.8620033627647,0.48867493927031014
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,3,3,"[[4, 4, 4], [8192, 8192, 8192], [64, 64, 64, 64], [32], [1024, 1024, 1024, 1024]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,4,4,"[[2, 2, 2], [8192, 8192, 8192, 8192, 8192], [32, 32, 32], [4, 4, 4], [8]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,5,5,"[[1024, 1024, 1024], [256], [128, 128], [2048], [1024, 1024]]",0.12153850807287522,4735.290656965317,0.49175073297432187
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,6,6,"[[8192, 8192], [16, 16, 16], [4096], [2048], [512, 512, 512]]",0.14121366704133176,507.0931338848776,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,7,7,"[[2048, 2048, 2048, 2048, 2048], [8], [1024, 1024, 1024, 1024, 1024], [512, 512, 512, 512], [4, 4, 4]]",0.13046357950667345,1932.6543970320292,0.4867546000080489
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,8,8,"[[512, 512, 512, 512, 512], [128, 128], [64, 64], [8, 8], [2048, 2048, 2048, 2048, 2048]]",0.12167054510703541,4096.646169026038,0.49167682044779143
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,9,9,"[[32, 32, 32, 32], [512, 512, 512], [16, 16, 16], [2, 2, 2, 2], [64]]",0.01630660298751674,31535.350849463186,0.5506581147247586
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,10,10,"[[64, 64, 64, 64], [2, 2, 2, 2], [128], [64, 64, 64], [4, 4, 4, 4]]",0.02031330785016243,49051.57006337672,0.5484152161217755
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,11,11,"[[256, 256, 256], [32, 32, 32, 32], [128, 128, 128, 128], [4, 4, 4, 4], [2048, 2048, 2048, 2048, 2048]]",0.12127882857944465,4571.654224853697,0.49189609800444145
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,12,12,"[[2, 2, 2, 2], [2048], [32, 32, 32, 32, 32], [8, 8, 8, 8], [256, 256]]",-0.000547279838047168,54763.0715377864,0.560092687906507
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,13,13,"[[1024, 1024], [4, 4, 4], [2, 2, 2, 2], [512, 512], [4096, 4096, 4096, 4096, 4096]]",0.1382364334719715,1125.4032775624978,0.4824034626276812
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,14,14,"[[4096, 4096], [256], [64], [2048, 2048, 2048, 2048], [64, 64, 64]]",0.13815289822804744,943.7011052494681,0.48245022451514735
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,15,15,"[[4, 4, 4], [8192, 8192, 8192, 8192], [4, 4, 4, 4], [4096], [4096]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,16,16,"[[4096, 4096], [256, 256, 256, 256], [1024], [2048, 2048, 2048, 2048, 2048], [64, 64]]",0.14121366704133176,781.3267713752875,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,17,17,"[[8, 8], [2048], [32], [4, 4, 4, 4], [64]]",-0.025083665396489683,54284.291754923564,0.5738278210839846
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,18,18,"[[64, 64], [8, 8, 8, 8, 8], [256], [4096, 4096, 4096, 4096], [32, 32, 32]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,19,19,"[[128], [512, 512, 512, 512], [8192], [16, 16], [4096, 4096, 4096, 4096]]",0.14121366704133176,1418.9870842631026,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,2,20,20,"[[8, 8, 8, 8], [64, 64, 64], [8192, 8192, 8192, 8192, 8192], [8192, 8192], [64]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds,config_01,Random,3,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
