competition,config_id,ModifiersLabel,Competitor,seed,best_score,best_qps,best_ne,best_arch
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,0,0.006143756132752379,25454.262797679043,0.5563471374489906,"[[256, 256, 256], [512, 512], [256, 256], [32], [64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,1,0.12047615383897398,19051.277698923604,0.49234542435009665,"[[128], [128], [32, 32], [4096], [128, 128, 128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,2,0.06915018265627282,8733.933345398415,0.5210770012964496,"[[1024, 1024], [1024, 1024], [64, 64], [64], [128, 128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,3,0.09124382691102709,7998.4627732924155,0.5087092813039487,"[[1024], [1024, 1024, 1024], [512], [32, 32], [64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,4,0.020676969499647285,19647.798250272284,0.5482116433023266,"[[256, 256, 256, 256], [1024], [512], [64], [64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,5,0.00887363105483709,29199.081540107116,0.5548189907900876,"[[128, 128, 128, 128], [512, 512], [256, 256], [64], [128]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,6,0.006313103597035477,24667.441566500875,0.5562523390537805,"[[256, 256], [1024], [256], [64], [64, 64, 64, 64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,7,0.047592930820149544,29310.130642545915,0.5331444561464854,"[[256, 256, 256, 256, 256], [16, 16, 16, 16, 16], [512, 512, 512], [64, 64], [64, 64]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,8,0.11427204529179047,6359.809985650154,0.4958183994930786,"[[128, 128], [2048, 2048], [512, 512], [128], [256]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,9,0.05529652906014903,11447.84371411961,0.528832087174285,"[[128, 128, 128], [1024, 1024], [8, 8, 8], [256, 256], [1024, 1024, 1024]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,Random,0,0.11985015222616921,8326.494488408476,0.49269585149433553,"[[64, 64, 64, 64], [1024, 1024, 1024, 1024, 1024], [32, 32, 32], [32, 32, 32, 32], [32, 32, 32, 32, 32]]"
tasks-20 tries @60days no noise-1modifiers_10seeds,1,config_01,Random,1,0.12130232460970958,32529.612447039544,0.4918829452479337,"[[8, 8], [64, 64, 64, 64, 64], [64], [4096], [4, 4]]"
