competition,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,1,1,"[[2048, 2048, 2048, 2048, 2048], [512], [512, 512, 512, 512], [512, 512], [1024, 1024, 1024]]",0.13070190842675258,1935.0574333183079,0.4866211867369893
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,2,2,"[[64], [256, 256, 256, 256, 256], [4096, 4096], [128], [2048, 2048]]",0.12507407433485765,3264.8242085761026,0.48977157131864696
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,3,3,"[[128], [512, 512, 512, 512, 512], [512], [256], [64, 64, 64, 64]]",0.050818361495978306,16812.34621760693,0.5313389041518076
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,4,4,"[[512, 512], [512, 512, 512, 512], [128], [128, 128], [256]]",0.03711751043621051,16290.737220959412,0.5390084532588865
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,5,5,"[[512, 512, 512, 512, 512], [256, 256, 256, 256], [256, 256, 256, 256, 256], [64], [2048, 2048, 2048, 2048, 2048]]",0.12299486800193288,3856.174536495888,0.490935482597191
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,6,6,"[[1024], [1024, 1024], [256, 256], [64, 64, 64], [128, 128]]",0.06420290397173008,10034.209813668447,0.5238464202655329
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,7,7,"[[128, 128], [4096, 4096, 4096, 4096], [4096, 4096, 4096, 4096], [512, 512, 512], [4096]]",0.14121366704133176,576.2821091325983,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,8,8,"[[2048, 2048, 2048, 2048], [128, 128, 128, 128, 128], [1024, 1024, 1024], [1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024]]",0.13278167512535596,1637.4827815988124,0.4854569617733996
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,9,9,"[[1024, 1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [4096], [512, 512, 512, 512, 512], [2048, 2048, 2048]]",0.13482678715456972,1934.7568313808686,0.4843121360199403
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,10,10,"[[128], [512, 512], [2048], [128], [1024, 1024, 1024]]",0.0843384762642486,10956.321474582866,0.5125748021869969
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,11,11,"[[64, 64, 64], [256, 256, 256, 256], [2048, 2048, 2048], [2048], [64, 64]]",0.1242613194107618,3225.024032727333,0.4902265404132806
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,12,12,"[[256, 256, 256], [256, 256, 256, 256], [256, 256, 256, 256], [256, 256], [4096, 4096, 4096, 4096]]",0.13263674670236636,1533.7525250704914,0.4855380907231474
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,13,13,"[[512, 512, 512, 512], [4096, 4096, 4096], [1024, 1024, 1024, 1024], [256, 256], [4096, 4096, 4096, 4096]]",0.14121366704133176,652.2000042322146,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,14,14,"[[256, 256], [1024, 1024], [4096, 4096, 4096], [64, 64, 64, 64], [256, 256, 256, 256]]",0.12941646977265692,1967.8915533652012,0.48734075772120894
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,15,15,"[[64, 64, 64, 64], [4096], [4096], [4096, 4096, 4096, 4096], [512, 512, 512]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,16,16,"[[1024], [2048], [2048], [512, 512, 512], [512, 512, 512]]",0.12417718297015419,3507.955845129221,0.49027363884243075
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,17,17,"[[64], [512], [256], [64, 64, 64], [512, 512, 512, 512, 512]]",0.0019283412489780837,26646.06021607632,0.5587068690683463
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,18,18,"[[2048, 2048, 2048, 2048, 2048], [1024], [2048, 2048, 2048, 2048], [1024, 1024, 1024, 1024], [2048, 2048]]",0.14066820602933774,1078.1851384570184,0.48104218959693246
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,19,19,"[[64, 64, 64, 64], [64], [64, 64], [128, 128, 128, 128, 128], [128, 128, 128, 128]]",0.01184310014610562,40619.96751189186,0.5531567225909745
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,0,20,20,"[[64], [512, 512, 512, 512, 512], [128, 128, 128, 128], [64], [256, 256]]",0.025985981693723733,20781.28776955641,0.545239730860178
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,1,1,"[[1024, 1024, 1024, 1024], [128], [2048, 2048, 2048, 2048], [64], [1024, 1024]]",0.12249705968790958,3722.022471295922,0.4912141488854134
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,2,2,"[[4096, 4096, 4096, 4096, 4096], [256, 256], [4096, 4096, 4096, 4096, 4096], [1024, 1024, 1024], [1024, 1024, 1024, 1024]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,3,3,"[[1024, 1024, 1024], [1024, 1024, 1024], [128, 128], [4096], [128, 128]]",0.12694093216111577,4758.858770838383,0.4887265298309349
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,4,4,"[[128, 128], [1024], [64, 64], [2048], [256, 256, 256, 256]]",0.07834151315197532,16345.89065262667,0.5159318201475804
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,5,5,"[[64, 64], [4096, 4096, 4096, 4096], [128, 128], [1024, 1024, 1024, 1024], [128]]",0.14121366704133176,736.4046429192063,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,6,6,"[[1024, 1024, 1024, 1024], [1024, 1024, 1024], [2048], [128, 128, 128, 128], [64, 64, 64]]",0.12445464545133941,4337.890659052715,0.4901183191388927
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,7,7,"[[128, 128, 128, 128, 128], [256, 256, 256], [64, 64], [512, 512], [512, 512, 512, 512, 512]]",0.06182865190547345,15693.156992143533,0.5251754941117708
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,8,8,"[[512, 512], [64], [256, 256, 256], [512, 512], [256, 256, 256, 256, 256]]",0.03589426475363786,16629.46917689388,0.5396932094679414
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,9,9,"[[64], [128, 128], [64, 64, 64, 64], [2048], [2048, 2048, 2048, 2048, 2048]]",0.12452038240733897,2652.7521869490656,0.4900815204896709
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,10,10,"[[1024, 1024, 1024], [2048, 2048, 2048, 2048], [2048, 2048, 2048, 2048], [512], [512, 512, 512, 512, 512]]",0.13742780381471656,1558.2354648717283,0.4828561224543374
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,11,11,"[[4096, 4096, 4096, 4096, 4096], [2048, 2048, 2048, 2048, 2048], [128, 128, 128, 128, 128], [1024], [64, 64, 64]]",0.14121366704133176,546.5838686037898,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,12,12,"[[1024, 1024, 1024], [128, 128], [256], [1024, 1024, 1024, 1024, 1024], [1024]]",0.12123376949751466,3157.2455162105152,0.4919213214624642
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,13,13,"[[4096, 4096], [128, 128, 128, 128, 128], [256], [128, 128, 128, 128], [1024, 1024, 1024]]",0.13085898315368688,2074.9768014465863,0.48653325845235584
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,14,14,"[[256, 256, 256, 256, 256], [4096, 4096, 4096], [128], [4096, 4096, 4096], [64, 64, 64]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,15,15,"[[256, 256], [4096, 4096, 4096, 4096, 4096], [4096], [256, 256], [2048, 2048]]",0.14121366704133176,633.5801806249212,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,16,16,"[[256, 256, 256, 256, 256], [2048], [128], [128], [128, 128, 128, 128]]",0.03281184459777997,18640.921381956065,0.54141870612876
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,17,17,"[[4096, 4096], [1024, 1024, 1024, 1024, 1024], [4096, 4096, 4096, 4096], [512], [512]]",0.14121366704133176,797.8038172163027,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,18,18,"[[256, 256], [2048, 2048, 2048, 2048, 2048], [2048], [2048], [128, 128, 128, 128]]",0.13922437301597576,1527.8755469278624,0.4818504275779232
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,19,19,"[[2048, 2048], [4096], [1024], [2048, 2048, 2048], [1024, 1024, 1024, 1024]]",0.1406462296460975,999.6918736340864,0.4810544916758122
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,1,20,20,"[[4096, 4096, 4096], [2048], [512, 512, 512, 512], [256, 256], [512, 512, 512, 512, 512]]",0.14121366704133176,1004.2354949321085,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,1,1,"[[2048], [4096], [256, 256, 256, 256], [64, 64, 64, 64], [128, 128, 128]]",0.1261121124027066,2933.8679340146646,0.4891904918001809
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,2,2,"[[2048, 2048, 2048, 2048], [1024, 1024, 1024], [1024, 1024, 1024, 1024, 1024], [4096, 4096, 4096, 4096], [256, 256, 256, 256, 256]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,3,3,"[[512, 512, 512, 512], [128, 128, 128], [1024, 1024, 1024], [2048, 2048, 2048, 2048], [1024]]",0.12803544344104723,1357.1110106099886,0.4881138373804392
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,4,4,"[[128, 128, 128, 128], [64, 64, 64], [4096, 4096, 4096, 4096, 4096], [256, 256, 256, 256, 256], [256, 256, 256, 256, 256]]",0.13440430709209247,1194.108702981973,0.4845486345828249
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,5,5,"[[4096, 4096], [256], [128, 128, 128], [128], [256]]",0.12855939030347446,2151.431177164953,0.4878205390901829
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,6,6,"[[128, 128], [4096, 4096], [256, 256, 256, 256, 256], [64, 64, 64, 64], [64, 64, 64, 64]]",0.13154237014569808,2234.29757453874,0.4861507077574023
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,7,7,"[[256, 256, 256], [1024], [64, 64, 64], [1024, 1024, 1024], [4096, 4096]]",0.12494601931752157,2229.2923021762526,0.48984325476660084
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,8,8,"[[64, 64, 64, 64], [128, 128, 128], [64, 64, 64, 64, 64], [2048, 2048], [2048, 2048]]",0.12398036395523124,2400.0309543044846,0.4903838154361017
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,9,9,"[[256, 256], [256, 256, 256, 256, 256], [1024, 1024, 1024, 1024], [64, 64, 64], [512, 512, 512]]",0.07796010594125831,12314.926941072661,0.5161453266895921
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,10,10,"[[64, 64, 64, 64], [2048], [2048, 2048, 2048, 2048], [2048, 2048, 2048, 2048], [64]]",0.13222015890573427,1114.1046449461858,0.48577129087617016
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,11,11,"[[2048, 2048, 2048], [128, 128, 128, 128], [512, 512, 512], [512, 512, 512, 512, 512], [128, 128, 128, 128]]",0.12474512893995772,3286.036474901344,0.48995571045341507
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,12,12,"[[256, 256, 256, 256, 256], [64, 64, 64, 64], [256], [1024, 1024, 1024, 1024, 1024], [4096, 4096, 4096, 4096]]",0.13643785246440726,1156.475894197114,0.48341028368575983
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,13,13,"[[128, 128, 128], [128, 128], [128, 128, 128], [4096, 4096, 4096, 4096], [128]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,14,14,"[[1024], [128, 128, 128, 128], [4096, 4096, 4096, 4096], [64], [256, 256, 256, 256]]",0.1302255726469161,1584.5336240630854,0.4868878329941435
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,15,15,"[[2048, 2048, 2048], [128, 128, 128], [2048, 2048, 2048, 2048], [512, 512, 512, 512, 512], [64, 64]]",0.12858809607979724,2154.8231508618883,0.4878044699890589
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,16,16,"[[4096, 4096, 4096, 4096], [512], [512, 512], [64, 64, 64, 64], [1024, 1024]]",0.14121366704133176,821.5364913844176,0.48073684797988725
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,17,17,"[[128, 128, 128], [256, 256], [256], [1024], [128, 128, 128, 128]]",0.047208695692884176,22051.784476709596,0.533359545717518
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,18,18,"[[2048], [2048, 2048], [256, 256, 256, 256, 256], [512], [256, 256, 256, 256]]",0.12539331043804652,3390.1052714449224,0.48959286731263457
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,19,19,"[[64, 64, 64, 64, 64], [64, 64, 64, 64], [1024], [512, 512], [512, 512, 512, 512]]",0.08767395100479188,13143.309609546175,0.5107076490293995
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,2,20,20,"[[256, 256, 256, 256], [2048, 2048, 2048], [1024, 1024, 1024, 1024, 1024], [1024, 1024], [2048]]",0.13032960877095334,2090.339187507799,0.48682959499427525
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,3,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,3,1,1,"[[64, 64, 64], [512, 512], [64], [2048], [256, 256, 256, 256]]",0.09063780212502062,16078.258781369921,0.5090485256936663
tasks-20 tries @60days no noise-1modifiers_10seeds_pow2,config_01,Random,3,2,2,"[[128, 128, 128, 128], [256, 256], [1024], [2048, 2048, 2048, 2048, 2048], [256]]",0.1277237737112605,1184.3264908521842,0.48828830583406746
