competition,ModifiersLabel,Competitor,seed,step,Trial,Arch,score,qps,ne
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,0,0,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.0,26021.45014064819,0.559786328135504
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,1,1,"[[3072, 3072, 3072, 3072, 3072], [256], [256, 256, 256, 256], [1280, 1280], [2368, 2368, 2368]]",0.14121366704133176,818.5658270650704,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,2,2,"[[1600], [3776, 3776, 3776, 3776, 3776], [2496, 2496], [1152], [896, 896]]",0.14121366704133176,645.1104537411175,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,3,3,"[[640], [3328, 3328, 3328, 3328, 3328], [3328], [1216], [1600, 1600, 1600, 1600]]",0.14121366704133176,736.7650016378293,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,4,4,"[[3328, 3328], [1280, 1280, 1280, 1280], [128], [3712, 3712], [2048]]",0.14121366704133176,724.3666985953529,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,5,5,"[[3392, 3392, 3392], [4032, 4032, 4032, 4032], [3264, 3264, 3264, 3264], [2240, 2240, 2240, 2240, 2240], [64]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,6,6,"[[3456, 3456, 3456, 3456, 3456], [3392], [1024, 1024], [2688, 2688, 2688, 2688, 2688], [3776, 3776, 3776]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,7,7,"[[128], [2560, 2560], [3712, 3712], [2496, 2496, 2496, 2496], [3008, 3008, 3008, 3008]]",0.14121366704133176,568.5077804084569,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,8,8,"[[1792, 1792, 1792], [960], [3456, 3456, 3456, 3456], [3712, 3712, 3712, 3712, 3712], [1344, 1344, 1344]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,9,9,"[[320, 320, 320, 320], [3072, 3072, 3072, 3072, 3072], [256, 256, 256, 256, 256], [2368, 2368, 2368, 2368, 2368], [2624, 2624, 2624, 2624, 2624]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,10,10,"[[2304, 2304, 2304, 2304, 2304], [1536, 1536, 1536], [3200], [2304, 2304], [2048]]",0.14121366704133176,751.2117469432956,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,11,11,"[[3200], [2368, 2368, 2368], [3136, 3136, 3136], [2240, 2240, 2240, 2240], [896, 896, 896]]",0.14121366704133176,633.0472680597728,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,12,12,"[[2560], [4096, 4096], [704], [2816, 2816, 2816], [4096, 4096, 4096]]",0.14121366704133176,500.0,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,13,13,"[[192, 192, 192, 192], [2240, 2240], [1984, 1984, 1984, 1984], [256, 256, 256, 256], [3008, 3008, 3008]]",0.1342644092819544,1631.6119937322464,0.48462694746427626
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,14,14,"[[1344, 1344, 1344, 1344], [3264, 3264], [960, 960, 960, 960], [3776, 3776], [2368, 2368]]",0.14121366704133176,625.692667254616,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,15,15,"[[1472, 1472, 1472], [2624, 2624, 2624, 2624], [192, 192, 192, 192], [1088, 1088, 1088, 1088], [3520]]",0.14121366704133176,1055.1727098155925,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,16,16,"[[2496], [3008, 3008, 3008, 3008], [3328, 3328, 3328], [3904], [896]]",0.14121366704133176,621.5897549557783,0.48073684797988725
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,config_01,Random,0,17,17,"[[3968], [256, 256, 256], [2816, 2816, 2816], [2624], [1280]]",0.13380641631778073,1480.7867345309444,0.48488332566400294
