competition,config_id,ModifiersLabel,Competitor,seed,best_score,best_qps,best_ne,best_arch
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,0,0.06649117342494464,13148.672793899601,0.5225654783105332,"[[64, 64, 64], [704, 704, 704, 704, 704], [320, 320], [128, 128], [128]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,1,0.04125029129700976,11574.048109939626,0.536694979035831,"[[192], [448], [320, 320], [768], [832, 832, 832]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,2,0.1146750611143993,6967.95015810482,0.4955927967455599,"[[512, 512, 512], [1344, 1344, 1344], [64, 64], [128], [128, 128, 128]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,3,0.11957303156244577,6536.450783863427,0.49285097985313175,"[[256, 256], [576, 576, 576], [1856, 1856, 1856], [128, 128], [64, 64, 64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,4,0.005608667323746899,27196.817785911357,0.5566466728486101,"[[256, 256, 256, 256], [512], [320, 320], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,5,0.1159161774015064,7614.289436957383,0.49489803681641104,"[[192, 192, 192, 192], [448], [2560, 2560], [64, 64], [128, 128]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,6,0.03257410300120329,13008.912218205098,0.5415517906241527,"[[256, 256], [576], [256], [64], [960, 960, 960, 960, 960]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,7,0.12178400987370681,6022.874894014676,0.4916133044226837,"[[320, 320, 320, 320], [1280, 1280, 1280, 1280], [256, 256], [64, 64], [4096]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,8,0.013652520460623596,20979.809276577398,0.5521438338370567,"[[256, 256], [640, 640], [256, 256, 256], [192], [192]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,LogSpaceSimulatedAnnealing,9,0.1036476158234363,12933.203180441895,0.5017658098537032,"[[384], [512, 512], [3136], [64, 64], [64, 64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,0,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,1,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,2,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,3,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,4,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,5,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,6,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,7,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,8,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Random,9,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,0,0.015827015870319348,23114.370149748444,0.5509265810361156,"[[384, 384, 384], [512], [256, 256, 256], [64, 64], [192, 192, 192]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,1,0.10831033225213184,8279.71513431604,0.49915568494494666,"[[2304], [640, 640, 640], [320, 320, 320], [64, 64, 64, 64, 64], [320]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,2,0.06266305215140806,9725.952491863054,0.5247084082619037,"[[256, 256, 256], [3264], [384], [320, 320, 320], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,3,0.09114919922077866,7619.712687355874,0.5087622525912128,"[[1280, 1280, 1280], [384, 384], [256, 256], [192], [192, 192]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,4,0.0645396003891229,7671.157455920707,0.5236579422143441,"[[128], [2368], [320, 320], [64], [1472, 1472, 1472, 1472]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,5,0.11984884966787133,8540.44714464981,0.4926965806486623,"[[192, 192, 192, 192], [576], [640, 640], [2176], [64, 64, 64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,6,0.03420670912270711,18292.128598844876,0.5406378800381045,"[[64, 64], [448, 448, 448, 448], [512, 512, 512, 512, 512], [128], [128]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,7,0.12011102520857271,6117.658465342634,0.4925498183654061,"[[256], [1280, 1280, 1280, 1280], [192, 192], [384, 384], [128, 128]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,8,0.07204811041141956,9060.500806079093,0.5194547809591941,"[[1024, 1024], [640, 640], [128, 128, 128, 128], [64], [1344, 1344]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,SimulatedAnnealing,9,0.062015720970056504,12031.566332480796,0.5250707754070001,"[[192, 192, 192], [512, 512, 512], [256, 256, 256], [256, 256, 256], [1280, 1280]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,0,0.12089663821872053,7707.513931682737,0.49211004294312,"[[1088], [448, 448, 448], [128], [2752], [384]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,1,0.12009245690524573,6909.244023940455,0.49256021264774524,"[[960, 960, 960, 960], [128, 128, 128, 128], [896, 896, 896], [256, 256, 256], [1536]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,2,0.09297953721884089,8625.464996968944,0.5077376544040306,"[[320, 320, 320, 320, 320], [448, 448], [768, 768, 768, 768, 768], [512, 512], [512]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,3,0.11762295629332288,6944.801240316956,0.4939426053276219,"[[384, 384], [896, 896, 896], [704], [832], [576, 576]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,4,0.12315872898040316,7136.019196583596,0.4908437554617284,"[[512], [832, 832], [256, 256, 256, 256, 256], [4032], [128, 128]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,5,0.1012327512999461,7023.069001204722,0.5031176179982525,"[[64, 64], [1536, 1536], [384, 384, 384, 384], [384, 384], [2176]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,6,0.12174400850744779,6025.33033779911,0.49163569664062223,"[[256, 256, 256, 256, 256], [1280, 1280, 1280], [1472], [128], [1408]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,7,0.12283758636233151,6707.728020745522,0.4910235267087066,"[[832, 832], [256, 256, 256, 256], [3904], [256, 256, 256], [1472, 1472]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,8,0.12000299566992206,8661.109631133397,0.49261029182417754,"[[256], [576, 576, 576, 576], [2560], [192], [704, 704, 704]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-ET,9,0.12085660983470334,6325.131027331073,0.49213245028523017,"[[128], [64, 64], [3584], [832], [320, 320, 320, 320, 320]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-GBRT,0,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-GBRT,1,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-GBRT,2,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-GBRT,3,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-GBRT,4,0.0,26021.45014064819,0.559786328135504,"[[256, 256], [512, 512], [256, 256], [64], [64]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-GBRT,5,0.09132137454783,8317.627305329508,0.5086658711970872,"[[192, 192, 192], [1408, 1408], [320], [256, 256], [2688]]"
tasks-20 tries @60days no noise-skewed_modifiers_10seeds,1,config_01,Skopt-GBRT,6,0.11557215453575853,7450.926053926957,0.4950906161132227,"[[192, 192, 192], [1024], [896, 896, 896, 896], [1216], [64, 64, 64, 64, 64]]"
