competition,config_id,ModifiersLabel,Competitor,num_seeds,avg_score,min_score,max_score,score_range,avg_time_seconds
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,10,0.0015657799743479472,0.0007094274419435733,0.002431703869882807,"[0.000709, 0.002432]",0.08170182704925537
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Random,10,0.0011456939037791927,0.0,0.0021940265762401562,"[0.000000, 0.002194]",0.09247591495513915
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,SimulatedAnnealing,10,0.0017170678137442038,0.0006264434374515158,0.002609645206620984,"[0.000626, 0.002610]",0.08458447456359863
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-ET,10,0.0025165774035478647,0.0016375136505340667,0.00304141659481275,"[0.001638, 0.003041]",4.691845655441284
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GBRT,10,0.0021664619960955955,0.0012300735509715277,0.0032764140132543963,"[0.001230, 0.003276]",2.5604795932769777
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-GP,10,0.0022788971954595507,0.001576692670742218,0.0027247397269810026,"[0.001577, 0.002725]",8.11373417377472
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-RF,10,0.0024566191634540708,0.0018745288611558752,0.003203043870116271,"[0.001875, 0.003203]",5.0176433563232425
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Skopt-Random,10,0.00205664460177731,0.0014342323950999498,0.0024993035576200483,"[0.001434, 0.002499]",0.11801786422729492
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,TPE,10,0.0023739450709917677,0.0018407278316115864,0.002876796923228867,"[0.001841, 0.002877]",0.494627857208252
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,2,config_02,LogSpaceSimulatedAnnealing,10,0.013255288553035186,0.008656504965816525,0.025434910373343434,"[0.008657, 0.025435]",0.0799985647201538
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,2,config_02,Random,10,0.015826316238842515,0.008304512881623871,0.02562856770799405,"[0.008305, 0.025629]",0.09267871379852295
