competition,config_id,ModifiersLabel,Competitor,seed,best_score,best_qps,best_ne,best_arch,time_seconds
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,0,0.0008450506626857382,11276.542921687453,0.4924029949907591,"[[896, 896], [704, 704, 704, 704, 704], [1024, 1024], [1024, 1024], [1024]]",0.07471561431884766
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,1,0.0008250846656069741,7813.663869007317,0.492412834622506,"[[896], [512, 512], [320, 320], [832], [2496, 2496, 2496, 2496, 2496]]",0.08205914497375488
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,2,0.001721268310377919,7589.226407662482,0.4919711778894441,"[[3904], [1408, 1408, 1408], [768, 768], [960], [1024]]",0.09084725379943848
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,3,0.0019662174330024973,7674.583982889568,0.4918504621969675,"[[768, 768, 768, 768, 768], [576, 576, 576], [1856, 1856, 1856], [896, 896], [1472, 1472, 1472, 1472]]",0.09028744697570801
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,4,0.0008366900123168943,11481.670898076638,0.49240711528189557,"[[960, 960, 960, 960], [640], [1088, 1088, 1088], [1088], [768, 768, 768, 768, 768]]",0.0836648941040039
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,5,0.0020899879926859852,6213.059766084364,0.4917894656575216,"[[832, 832, 832, 832], [448, 448], [2496, 2496], [960, 960], [3264, 3264]]",0.08388400077819824
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,6,0.0019327319293573131,6058.532520557539,0.4918669645045371,"[[1088, 1088, 1088], [512], [2240, 2240, 2240, 2240], [1088, 1088, 1088], [960, 960, 960, 960, 960]]",0.0748605728149414
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,7,0.002431703869882807,7678.24015452473,0.49162106142604656,"[[1024, 1024, 1024, 1024, 1024], [1216, 1216, 1216, 1216], [448], [2688], [832]]",0.08351802825927734
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,8,0.0007094274419435733,12443.611744005653,0.4924698327521374,"[[640, 640, 640, 640], [640, 640], [896, 896, 896, 896], [1216], [1024, 1024, 1024]]",0.08463788032531738
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,LogSpaceSimulatedAnnealing,9,0.002299637425619772,6941.287641868173,0.4916861463387881,"[[1344, 1344, 1344, 1344, 1344], [512, 512], [3136], [1024, 1024], [1024, 1024]]",0.0685434341430664
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Random,0,0.0,14760.938540001001,0.49281945239559044,"[[1024, 1024], [512, 512], [1024, 1024], [1024], [1024]]",0.09722185134887695
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Random,1,0.001839889083545026,6695.930985887031,0.49191271926496916,"[[960, 960, 960], [1920], [2304, 2304, 2304, 2304], [192, 192], [1280, 1280, 1280, 1280, 1280]]",0.09120702743530273
tasks-40 tries @60days no noise-skewed_modifiers_10seeds_step64,1,config_01,Random,2,0.0012410515868201697,7720.761005089088,0.49220783803217905,"[[768, 768, 768], [1152, 1152, 1152], [128, 128, 128], [960, 960, 960], [2880, 2880]]",0.09262442588806152
