,model_config,trial,trace_url,session_url,session_elapsed_time,is_valid,is_best_valid_trial,nested_architecture,training_ne,qps,score,actual_answers
0,confucius_claude-4-5-sonnet_extra_knowledge,trial_1,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.56056,25349.42,1e-06,
1,confucius_claude-4-5-sonnet_extra_knowledge,trial_2,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,False,False,"[[1024, 1024, 1024], [1024, 1024, 1024], [1024, 1024, 1024], [1024, 1024, 1024], [1024, 1024, 1024]]",0.489913,2610.68,0.126029,
2,confucius_claude-4-5-sonnet_extra_knowledge,trial_3,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[1024, 1024, 1024], [512, 512], [256, 256], [64], [64]]",0.555269,8185.87,0.009438,
3,confucius_claude-4-5-sonnet_extra_knowledge,trial_4,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[256, 256], [1024, 1024, 1024], [256, 256], [64], [64]]",0.547484,10686.23,0.023326,
4,confucius_claude-4-5-sonnet_extra_knowledge,trial_5,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[256, 256], [512, 512], [1024, 1024, 1024], [64], [64]]",0.500979,20259.02,0.106289,
5,confucius_claude-4-5-sonnet_extra_knowledge,trial_6,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[256, 256], [512, 512], [256, 256], [1024, 1024, 1024], [64]]",0.541162,9128.26,0.034605,
6,confucius_claude-4-5-sonnet_extra_knowledge,trial_7,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[256, 256], [512, 512], [256, 256], [64], [1024, 1024, 1024]]",0.555957,9585.45,0.008211,
7,confucius_claude-4-5-sonnet_extra_knowledge,trial_8,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,True,"[[256, 256], [512, 512], [2048, 2048, 2048, 2048, 2048], [64], [64]]",0.480737,13202.29,0.142399,
8,confucius_claude-4-5-sonnet_extra_knowledge,trial_9,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[256, 256], [1024, 1024], [2048, 2048, 2048, 2048, 2048], [64], [64]]",0.480737,8444.92,0.142399,
9,confucius_claude-4-5-sonnet_extra_knowledge,trial_10,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[256, 256], [512, 512], [2048, 2048, 2048, 2048, 2048], [1024, 1024], [64]]",0.480737,6667.08,0.142399,
10,confucius_claude-4-5-sonnet_extra_knowledge,trial_11,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[1024, 1024], [512, 512], [2048, 2048, 2048, 2048, 2048], [64], [64]]",0.480737,7800.2,0.142399,
11,confucius_claude-4-5-sonnet_extra_knowledge,trial_12,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,False,False,"[[1024, 1024], [1024, 1024], [2048, 2048, 2048, 2048, 2048], [512], [512]]",0.480737,4618.33,0.142399,
12,confucius_claude-4-5-sonnet_extra_knowledge,trial_13,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,False,False,"[[512, 512], [2048, 2048, 2048, 2048, 2048], [1024, 1024], [64], [64]]",0.489237,2016.72,0.127236,
13,confucius_claude-4-5-sonnet_extra_knowledge,trial_14,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,False,False,"[[256, 256], [2048, 2048, 2048, 2048, 2048], [2048, 2048, 2048, 2048, 2048], [64], [64]]",0.480737,2020.61,0.142399,
14,confucius_claude-4-5-sonnet_extra_knowledge,trial_15,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[512, 512], [1024, 1024], [2048, 2048, 2048, 2048], [512], [512]]",0.480737,6045.74,0.142399,
15,confucius_claude-4-5-sonnet_extra_knowledge,trial_16,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,False,False,"[[1024], [1024], [2048, 2048, 2048, 2048, 2048], [1024], [1024]]",0.480737,4380.36,0.142399,
16,confucius_claude-4-5-sonnet_extra_knowledge,trial_17,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,False,False,"[[1024, 1024], [1024, 1024], [1024, 1024, 1024], [1024], [1024]]",0.491061,4409.37,0.123981,
17,confucius_claude-4-5-sonnet_extra_knowledge,trial_18,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[512, 512], [512, 512], [2048, 2048, 2048, 2048, 2048], [512, 512], [512]]",0.480737,7748.29,0.142399,
18,confucius_claude-4-5-sonnet_extra_knowledge,trial_19,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,True,False,"[[512, 512], [1024, 1024], [2048, 2048, 2048, 2048, 2048], [512], [256]]",0.480737,6091.13,0.142399,
19,confucius_claude-4-5-sonnet_extra_knowledge,trial_20,https://fburl.com/confucius/enttoe4b,https://fburl.com/confucius/gisqdg9o,229.18382447201293,False,False,"[[1024, 1024], [1024, 1024], [2048, 2048, 2048, 2048, 2048], [256], [256]]",0.480737,5120.07,0.142399,
20,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_1,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,True,False,"[[256, 256], [512, 512], [256, 256], [64], [64]]",0.5605595734306165,25349.424410269436,7.609700718613928e-07,
21,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_2,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,True,False,"[[512, 512], [1024, 1024], [512, 512], [128], [128]]",0.5371078405137448,10624.101057569542,0.041837019206249326,
22,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_3,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,False,False,"[[1024, 1024], [2048, 2048], [1024, 1024], [256], [256]]",0.4914061464496102,3486.5322974417677,0.12336565853858593,
23,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_4,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,False,False,"[[2048, 2048, 2048], [2048, 2048, 2048], [2048, 2048, 2048], [1024, 1024], [1024, 1024]]",0.48073684797988725,1280.7013515200017,0.1423989439491093,
24,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_5,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,False,False,"[[2048, 2048, 2048, 2048, 2048], [2048, 2048, 2048, 2048, 2048], [2048, 2048, 2048, 2048, 2048], [2048, 2048, 2048, 2048, 2048], [2048, 2048, 2048, 2048, 2048]]",0.48073684797988725,500.0,0.1423989439491093,
25,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_6,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,True,False,"[[512, 512, 512], [1024, 1024, 1024], [512, 512, 512], [256], [256]]",0.5200912466413977,7699.201799328637,0.07219343755994403,
26,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_7,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,True,False,"[[512, 512], [1024, 1024], [1024, 1024], [256], [128]]",0.503202381524768,9153.410888840752,0.10232199670906221,
27,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_8,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,True,False,"[[1024, 1024], [1024, 1024], [512, 512], [256], [128]]",0.5321342660381342,6880.740085587255,0.05070952968792951,
28,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_9,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,True,False,"[[512, 512, 512], [1024, 1024], [512, 512], [256], [128]]",0.5346661641871975,9669.84261546056,0.04619279972313842,
29,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_10,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,False,False,"[[1024, 1024, 1024], [1024, 1024], [512, 512], [256], [256]]",0.5303045009866593,5755.75184884349,0.05397370310643051,
30,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_11,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,True,False,"[[512, 512], [1024, 1024, 1024], [512, 512], [256], [128]]",0.5305210375201426,8247.146789732216,0.05358741701130545,
31,confucius_claude-4-5-sonnet_no_extra_knowledge,trial_12,https://fburl.com/confucius/ycaqzv9t,https://fburl.com/confucius/1q2mmzl3,200.47239749901928,False,False,"[[1024, 1024], [1024, 1024, 1024], [512, 512], [256], [256]]",0.5271392796531769,5873.828188684715,0.05962023752465943,
